customer_id,tenure_months,monthly_charges,num_support_tickets,late_payments_last_6m,contract_type,internet_type,payment_method,region,auto_pay,streaming_tv,online_security,partner,dependents,churn
CUST-100081,20,114.29,2,0,Month-to-month,DSL,Bank transfer,Central,1,0,1,1,1,0
CUST-100082,16,83.95,2,2,One year,Fiber,Mailed check,West,1,0,1,0,0,0
CUST-100083,7,93.16,1,0,Month-to-month,Fiber,Electronic check,South,0,1,1,0,0,1
CUST-100084,51,43.0,3,3,Month-to-month,Fiber,Credit card,South,1,1,0,0,0,0
CUST-100085,13,51.47,2,0,Month-to-month,Fiber,Mailed check,West,1,1,0,0,0,1
CUST-100086,15,51.65,1,0,One year,Fiber,Credit card,South,1,1,0,1,0,0
CUST-100087,58,72.43,4,1,Month-to-month,Fiber,Mailed check,Central,1,1,0,0,0,0
CUST-100088,6,63.82,1,0,Month-to-month,Fiber,Credit card,East,1,1,1,1,0,0
CUST-100089,31,56.25,2,0,Month-to-month,Fiber,Electronic check,East,0,1,0,0,1,0
CUST-100090,45,59.26,3,0,Month-to-month,DSL,Mailed check,Central,1,0,1,1,1,0
CUST-100091,55,48.94,1,1,One year,DSL,Bank transfer,South,1,0,0,1,1,0
CUST-100092,30,63.68,2,1,Month-to-month,DSL,Electronic check,East,0,0,0,0,0,0
CUST-100093,38,94.72,2,0,Month-to-month,Fiber,Mailed check,East,1,0,0,0,1,1
CUST-100094,45,31.68,0,2,Month-to-month,Fiber,Credit card,South,1,1,0,0,0,0
CUST-100096,11,101.12,0,2,Month-to-month,Fiber,Bank transfer,South,1,1,1,0,0,0
CUST-100097,61,63.6,2,1,Month-to-month,Fiber,Bank transfer,North,1,0,0,0,0,0
CUST-100100,7,44.38,2,0,Two year,Fiber,Bank transfer,South,1,0,1,0,0,0
CUST-100102,31,43.04,0,0,Month-to-month,Fiber,Electronic check,East,0,1,0,1,0,0
CUST-100104,24,64.35,2,1,One year,Fiber,Credit card,West,1,1,1,1,1,0
CUST-100105,13,37.68,2,0,One year,Fiber,Mailed check,South,1,1,1,0,0,0
CUST-100106,16,67.72,3,0,Month-to-month,DSL,Electronic check,West,0,1,0,1,1,0
CUST-100107,52,94.76,2,0,Month-to-month,Fiber,Electronic check,South,0,1,1,1,1,1
CUST-100108,13,112.5,2,1,Month-to-month,DSL,Mailed check,West,1,1,0,1,0,1
CUST-100109,25,70.24,5,0,Two year,Fiber,Credit card,West,1,0,0,1,0,0
CUST-100110,14,92.46,4,2,Month-to-month,DSL,Electronic check,Central,0,0,0,1,0,0
CUST-100111,29,77.58,1,1,Month-to-month,DSL,Bank transfer,Central,1,1,1,1,0,0
CUST-100112,26,58.81,3,3,Month-to-month,Fiber,Bank transfer,North,1,0,0,1,0,1
CUST-100113,24,21.81,1,1,Month-to-month,DSL,Credit card,South,1,0,1,1,0,1
CUST-100114,45,107.04,3,2,Month-to-month,Fiber,Electronic check,East,0,1,0,0,0,1
CUST-100115,6,42.82,3,3,Two year,Fiber,Credit card,South,1,0,0,1,1,1
CUST-100116,4,101.19,2,1,One year,Fiber,Bank transfer,West,1,1,0,1,1,0
CUST-100117,9,80.88,2,1,One year,DSL,Credit card,Central,1,1,0,1,0,0
CUST-100118,26,44.58,2,1,Month-to-month,DSL,Electronic check,South,0,0,1,1,0,0
CUST-100122,18,55.69,2,0,Month-to-month,Fiber,Mailed check,North,1,1,0,1,1,0
CUST-100124,31,70.4,2,0,Month-to-month,DSL,Bank transfer,North,1,1,0,0,0,0
CUST-100125,57,64.03,0,1,Month-to-month,Fiber,Electronic check,North,0,1,1,0,0,0
CUST-100126,51,96.79,1,2,Month-to-month,DSL,Mailed check,North,1,1,0,0,1,1
CUST-100127,18,85.75,2,3,Month-to-month,Fiber,Electronic check,East,0,0,1,1,0,0
CUST-100128,41,27.39,3,0,Month-to-month,Fiber,Credit card,North,1,1,1,1,0,1
CUST-100129,18,79.01,1,3,One year,Fiber,Credit card,South,1,1,1,0,0,0
CUST-100130,67,63.7,2,1,Month-to-month,Fiber,Electronic check,Central,0,1,0,1,0,0
CUST-100131,19,68.89,1,2,Two year,Fiber,Electronic check,Central,0,0,0,1,0,0
CUST-100132,33,73.97,0,0,One year,DSL,Electronic check,Central,0,1,0,1,0,1
CUST-100133,72,96.77,2,0,Month-to-month,DSL,Mailed check,North,1,1,1,0,0,0
CUST-100134,34,91.47,4,0,One year,DSL,Credit card,West,1,1,0,0,0,0
CUST-100135,17,50.01,4,0,Month-to-month,Fiber,Mailed check,West,1,1,1,1,1,1
CUST-100136,8,66.59,2,0,Two year,Fiber,Electronic check,North,0,1,1,1,1,0
CUST-100137,6,57.24,3,0,Month-to-month,Fiber,Electronic check,Central,0,0,1,1,1,0
CUST-100138,32,27.64,2,2,One year,DSL,Electronic check,East,0,1,0,1,0,0
CUST-100139,22,65.38,2,0,Month-to-month,Fiber,Credit card,Central,1,1,0,0,1,0
CUST-100140,9,112.27,1,1,Month-to-month,DSL,Bank transfer,North,1,1,1,0,1,0
CUST-100141,38,26.91,3,0,Month-to-month,DSL,Bank transfer,West,1,1,1,1,0,1
CUST-100142,38,67.42,1,2,Two year,DSL,Electronic check,North,0,0,1,0,0,0
CUST-100143,22,66.65,2,1,Month-to-month,DSL,Credit card,Central,1,0,0,1,0,0
CUST-100144,59,74.91,1,0,Month-to-month,Fiber,Electronic check,West,0,1,1,1,1,0
CUST-100145,5,44.89,1,0,Month-to-month,DSL,Credit card,North,1,0,0,1,0,0
CUST-100146,17,33.8,1,2,Month-to-month,DSL,Credit card,South,1,1,1,1,0,1
CUST-100147,34,34.91,0,2,Month-to-month,DSL,Mailed check,South,1,1,0,0,1,0
CUST-100148,10,99.94,2,1,Month-to-month,DSL,Credit card,North,1,1,0,0,1,1
CUST-100149,41,44.42,0,2,Month-to-month,DSL,Electronic check,North,0,0,1,1,0,1
CUST-100152,60,50.38,0,0,Month-to-month,DSL,Mailed check,East,1,0,0,0,1,0
CUST-100153,33,76.22,3,1,Month-to-month,DSL,Electronic check,Central,0,1,1,1,0,1
CUST-100154,16,93.53,0,0,Month-to-month,Fiber,Electronic check,West,0,1,0,0,0,0
CUST-100156,45,36.04,1,0,Month-to-month,Fiber,Electronic check,West,0,1,0,1,1,0
CUST-100157,8,50.88,3,1,One year,DSL,Bank transfer,North,1,1,1,0,0,0
CUST-100158,33,75.26,2,0,One year,Fiber,Mailed check,Central,1,0,1,0,0,0
CUST-100159,9,114.3,1,1,One year,Fiber,Electronic check,South,0,1,0,0,0,1
CUST-100160,23,49.72,1,2,Month-to-month,DSL,Credit card,North,1,1,0,1,0,0
CUST-100161,43,56.15,1,0,Two year,Fiber,Credit card,South,1,1,0,0,0,0
CUST-100162,16,78.07,1,0,Month-to-month,Fiber,Electronic check,West,0,1,1,0,0,1
CUST-100163,60,82.87,1,1,Month-to-month,Fiber,Mailed check,Central,1,1,1,0,1,1
CUST-100164,35,84.33,2,3,Month-to-month,Fiber,Bank transfer,East,1,1,1,1,0,0
CUST-100165,10,47.69,1,2,Month-to-month,DSL,Bank transfer,North,1,1,0,0,0,0
CUST-100166,7,55.23,1,1,Two year,DSL,Mailed check,Central,1,1,0,1,0,0
CUST-100167,12,73.17,1,1,One year,Fiber,Bank transfer,West,1,1,0,1,0,1
CUST-100168,23,98.3,5,0,Month-to-month,DSL,Electronic check,East,0,0,1,1,0,0
CUST-100169,64,62.28,0,1,Two year,Fiber,Electronic check,East,0,0,1,0,0,0
CUST-100170,72,67.46,2,0,Month-to-month,DSL,Bank transfer,Central,1,1,0,0,0,0
CUST-100171,15,43.38,0,0,Month-to-month,Fiber,Bank transfer,South,1,0,1,0,0,0
CUST-100172,15,112.72,2,1,Month-to-month,Fiber,Credit card,North,1,0,1,0,0,0
CUST-100173,39,71.7,2,1,Two year,Fiber,Electronic check,North,0,0,0,1,0,0
CUST-100174,39,93.87,3,1,Month-to-month,DSL,Electronic check,West,0,0,0,0,0,1
CUST-100175,54,68.72,1,0,Month-to-month,Fiber,Electronic check,Central,0,1,1,0,0,0
CUST-100176,55,70.05,0,6,Month-to-month,Fiber,Electronic check,West,0,0,1,0,0,1
CUST-100177,11,31.99,0,1,Two year,DSL,Electronic check,West,0,1,0,0,1,0
CUST-100178,5,18.0,0,0,Two year,DSL,Mailed check,South,1,1,0,0,1,0
CUST-100179,35,98.05,6,1,One year,Fiber,Mailed check,East,1,0,0,0,0,1
CUST-100180,27,69.87,0,1,Two year,DSL,Bank transfer,North,1,0,1,1,0,0
CUST-100181,3,72.95,0,2,Two year,DSL,Mailed check,South,1,1,0,0,0,0
CUST-100182,5,38.02,1,0,Month-to-month,Fiber,Electronic check,West,0,0,0,0,0,0
CUST-100183,34,46.33,1,2,Month-to-month,DSL,Bank transfer,Central,1,0,0,1,0,0
CUST-100184,21,93.5,3,0,One year,Fiber,Electronic check,Central,0,0,1,1,1,0
CUST-100185,35,109.76,1,0,One year,DSL,Credit card,Central,1,0,0,1,0,0
CUST-100186,9,53.09,2,1,Month-to-month,Fiber,Electronic check,North,0,0,0,0,0,0
CUST-100187,36,84.12,5,1,Month-to-month,DSL,Mailed check,Central,1,1,0,0,0,1
CUST-100188,30,72.56,0,1,One year,Fiber,Credit card,South,1,0,1,0,0,0
CUST-100189,38,65.11,5,1,Month-to-month,Fiber,Bank transfer,West,1,1,1,1,0,1
CUST-100191,13,57.12,2,0,Month-to-month,Fiber,Bank transfer,Central,1,0,0,0,0,1
CUST-100192,6,97.78,2,1,Month-to-month,DSL,Electronic check,West,0,0,0,0,0,1
CUST-100194,48,67.59,1,0,Month-to-month,DSL,Credit card,East,1,1,1,0,1,0
CUST-100195,57,100.93,4,0,Month-to-month,Fiber,Credit card,West,1,1,1,0,0,1
CUST-100196,8,74.96,1,1,One year,DSL,Mailed check,East,1,1,0,1,0,1
CUST-100197,23,65.69,0,1,Two year,Fiber,Electronic check,East,0,0,0,0,1,0
CUST-100198,64,101.11,4,0,Month-to-month,Fiber,Bank transfer,East,1,0,0,0,1,1
CUST-100199,70,97.98,0,1,Month-to-month,DSL,Bank transfer,East,1,0,1,1,0,0
CUST-100200,18,96.85,0,3,One year,DSL,Electronic check,North,0,1,0,0,1,1
CUST-100201,51,18.0,2,1,Two year,DSL,Electronic check,Central,0,0,0,1,0,0
CUST-100202,45,78.56,2,1,Month-to-month,Fiber,Electronic check,North,0,0,0,0,0,0
CUST-100203,43,73.09,1,0,Month-to-month,DSL,Mailed check,Central,1,0,0,1,0,0
CUST-100204,5,67.16,2,1,Month-to-month,DSL,Electronic check,North,0,1,0,0,0,0
CUST-100205,15,82.63,0,1,Month-to-month,Fiber,Electronic check,East,0,0,1,0,1,1
CUST-100206,21,74.25,2,0,Month-to-month,DSL,Electronic check,East,0,1,1,1,0,0
CUST-100207,20,84.27,2,1,One year,Fiber,Credit card,East,1,1,0,1,0,1
CUST-100208,22,61.57,0,1,Month-to-month,Fiber,Electronic check,East,0,0,0,0,0,1
CUST-100209,72,103.96,2,0,Month-to-month,DSL,Electronic check,Central,0,0,1,0,0,0
CUST-100211,31,81.02,0,1,One year,Fiber,Electronic check,Central,0,0,1,0,1,1
CUST-100212,30,79.85,0,1,Month-to-month,Fiber,Credit card,West,1,0,1,1,0,1
CUST-100213,23,95.77,3,2,One year,Fiber,Credit card,West,1,0,1,1,0,0
CUST-100214,9,92.52,3,0,One year,DSL,Mailed check,North,1,1,1,1,0,0
CUST-100215,25,65.29,1,0,One year,Fiber,Mailed check,North,1,1,0,0,1,0
CUST-100216,3,91.77,0,0,Month-to-month,Fiber,Mailed check,South,1,0,0,1,0,1
CUST-100219,31,94.35,2,0,Month-to-month,DSL,Electronic check,Central,0,1,1,0,1,0
CUST-100220,14,52.99,2,1,Month-to-month,Fiber,Electronic check,East,0,1,1,1,0,0
CUST-100221,10,123.94,2,0,Month-to-month,DSL,Bank transfer,West,1,1,0,1,1,1
CUST-100222,39,18.0,2,0,One year,Fiber,Electronic check,North,0,0,0,0,0,0
CUST-100223,17,83.3,0,0,Two year,Fiber,Electronic check,West,0,1,1,1,0,1
CUST-100224,24,51.29,3,1,Month-to-month,Fiber,Mailed check,North,1,1,1,1,0,1
CUST-100225,5,113.17,0,2,Two year,DSL,Mailed check,West,1,1,1,1,1,1
CUST-100226,59,74.07,2,0,Month-to-month,DSL,Electronic check,South,0,0,0,1,1,1
CUST-100227,26,48.95,2,1,Month-to-month,Fiber,Electronic check,East,0,1,1,0,1,1
CUST-100228,26,61.6,1,0,One year,Fiber,Electronic check,South,0,1,1,0,0,1
CUST-100229,33,50.87,1,1,Month-to-month,DSL,Electronic check,East,0,0,1,1,1,0
CUST-100231,63,60.11,3,1,Month-to-month,Fiber,Credit card,Central,1,1,1,0,0,0
CUST-100232,18,49.97,1,1,Two year,DSL,Mailed check,South,1,1,0,1,0,0
CUST-100233,61,74.48,3,1,One year,Fiber,Mailed check,South,1,0,0,1,1,0
CUST-100234,17,77.39,1,1,Two year,Fiber,Bank transfer,East,1,1,0,0,0,0
CUST-100235,14,44.09,0,2,One year,Fiber,Bank transfer,West,1,0,0,0,0,0
CUST-100236,32,28.2,0,0,Month-to-month,Fiber,Electronic check,North,0,0,1,0,0,1
CUST-100237,72,75.46,2,0,One year,DSL,Electronic check,West,0,1,1,0,1,0
CUST-100238,50,80.77,1,2,Month-to-month,DSL,Mailed check,Central,1,0,0,1,0,0
CUST-100239,34,85.53,1,0,Month-to-month,DSL,Bank transfer,Central,1,0,1,0,0,0
CUST-100240,31,81.23,2,0,Two year,Fiber,Electronic check,East,0,1,1,1,0,1
CUST-100241,25,105.75,2,0,One year,DSL,Electronic check,South,0,1,0,0,0,0
CUST-100242,59,91.93,3,0,Month-to-month,Fiber,Electronic check,South,0,0,1,1,0,1
CUST-100243,40,132.32,1,1,Month-to-month,DSL,Electronic check,West,0,0,0,0,1,1
CUST-100244,6,140.0,1,2,One year,Fiber,Mailed check,East,1,1,1,1,1,0
CUST-100245,10,25.81,2,1,Two year,DSL,Bank transfer,North,1,1,1,0,0,0
CUST-100246,35,18.0,3,0,One year,Fiber,Mailed check,West,1,0,0,1,0,0
CUST-100247,9,67.82,3,2,Month-to-month,Fiber,Electronic check,North,0,1,0,0,0,1
CUST-100248,26,80.1,2,1,Month-to-month,Fiber,Electronic check,Central,0,1,1,1,1,1
CUST-100249,42,66.18,2,0,Month-to-month,Fiber,Credit card,East,1,1,1,0,1,1
CUST-100250,32,84.89,2,1,One year,Fiber,Mailed check,South,1,0,0,0,0,1
CUST-100251,7,61.51,1,0,Two year,DSL,Electronic check,North,0,0,1,1,1,0
CUST-100252,11,51.35,2,0,Month-to-month,DSL,Electronic check,North,0,1,1,0,0,0
CUST-100253,33,54.97,1,0,Month-to-month,Fiber,Credit card,Central,1,1,0,1,1,0
CUST-100254,72,63.2,3,1,Month-to-month,DSL,Bank transfer,East,1,0,0,1,1,0
CUST-100255,22,88.24,2,0,One year,DSL,Credit card,Central,1,0,0,0,0,0
CUST-100256,43,56.32,3,1,One year,DSL,Bank transfer,Central,1,1,0,1,1,0
CUST-100257,32,61.06,0,0,Month-to-month,DSL,Mailed check,North,1,1,0,0,0,1
CUST-100258,14,81.69,1,3,Month-to-month,DSL,Mailed check,South,1,0,1,1,0,0
CUST-100259,44,63.23,1,2,One year,DSL,Electronic check,Central,0,1,1,0,1,0
CUST-100260,5,94.8,2,1,Month-to-month,DSL,Bank transfer,East,1,1,0,1,0,0
CUST-100262,34,40.73,1,0,Month-to-month,Fiber,Electronic check,East,0,0,0,0,0,1
CUST-100263,15,75.31,1,0,Month-to-month,Fiber,Credit card,West,1,1,1,1,0,0
CUST-100264,9,77.7,1,0,Two year,Fiber,Mailed check,Central,1,0,1,0,1,0
CUST-100266,13,100.25,1,1,Month-to-month,Fiber,Electronic check,West,0,0,0,0,1,0
CUST-100267,19,114.2,1,1,Month-to-month,DSL,Credit card,East,1,0,1,0,1,0
CUST-100268,17,52.93,3,0,Month-to-month,DSL,Credit card,South,1,0,1,0,0,0
CUST-100270,4,18.0,1,1,Month-to-month,Fiber,Credit card,West,1,1,0,1,0,1
CUST-100271,8,93.83,2,1,Month-to-month,DSL,Credit card,North,1,1,0,1,1,1
CUST-100272,48,47.41,1,2,Month-to-month,DSL,Credit card,West,1,1,1,1,0,1
CUST-100273,15,91.43,0,3,One year,Fiber,Credit card,East,1,0,0,1,0,0
CUST-100274,19,44.93,2,0,One year,DSL,Mailed check,West,1,1,0,1,0,0
CUST-100275,17,66.36,1,3,Month-to-month,Fiber,Bank transfer,Central,1,0,0,1,0,1
CUST-100276,60,48.56,2,3,Month-to-month,DSL,Bank transfer,East,1,0,0,0,1,0
CUST-100277,13,62.87,1,0,Month-to-month,Fiber,Bank transfer,East,1,1,1,1,0,0
CUST-100278,12,111.92,2,2,Two year,Fiber,Electronic check,East,0,0,0,0,1,0
CUST-100279,34,65.41,0,0,Two year,Fiber,Bank transfer,South,1,0,0,1,0,0
CUST-100280,27,118.65,2,1,Month-to-month,Fiber,Credit card,North,1,0,1,0,1,1
CUST-100281,35,58.74,1,1,Month-to-month,Fiber,Electronic check,North,0,0,1,0,0,0
CUST-100282,33,103.8,0,2,Month-to-month,DSL,Credit card,West,1,1,0,1,1,1
CUST-100283,44,28.98,2,0,Month-to-month,Fiber,Mailed check,Central,1,1,0,0,0,0
CUST-100284,7,61.12,1,0,Month-to-month,Fiber,Electronic check,North,0,1,0,1,1,1
CUST-100285,32,55.13,2,0,Month-to-month,DSL,Electronic check,South,0,1,0,1,1,1
CUST-100286,12,104.9,3,1,Month-to-month,DSL,Credit card,West,1,1,1,1,1,1
CUST-100287,3,72.45,1,0,Month-to-month,DSL,Bank transfer,West,1,0,1,1,1,0
CUST-100289,32,36.56,1,0,Month-to-month,Fiber,Bank transfer,West,1,1,0,0,0,0
CUST-100290,23,43.7,4,1,Two year,DSL,Electronic check,North,0,1,0,1,0,0
CUST-100291,45,90.42,1,0,Month-to-month,Fiber,Mailed check,South,1,1,1,0,0,1
CUST-100292,12,87.32,1,4,Two year,DSL,Credit card,East,1,1,0,0,0,0
CUST-100294,21,54.84,2,0,Two year,DSL,Credit card,South,1,1,0,1,1,0
CUST-100295,22,85.19,1,0,Two year,DSL,Bank transfer,South,1,0,1,1,1,0
CUST-100296,3,40.89,2,1,Two year,DSL,Credit card,Central,1,0,1,0,1,1
CUST-100297,45,78.98,3,0,One year,Fiber,Electronic check,South,0,1,0,0,0,0
CUST-100298,31,76.94,4,0,One year,DSL,Electronic check,Central,0,0,1,1,0,0
CUST-100299,36,61.41,2,1,One year,DSL,Electronic check,West,0,0,1,0,1,0
CUST-100301,28,70.45,1,1,Month-to-month,Fiber,Bank transfer,Central,1,1,1,0,0,1
CUST-100302,21,79.94,0,0,Month-to-month,Fiber,Bank transfer,Central,1,1,1,1,1,1
CUST-100303,32,35.98,2,2,Month-to-month,DSL,Electronic check,South,0,1,0,0,0,0
CUST-100304,28,82.75,0,2,Two year,Fiber,Electronic check,East,0,1,1,0,0,0
CUST-100305,67,92.64,0,1,Month-to-month,Fiber,Bank transfer,East,1,0,0,1,0,0
CUST-100306,54,75.7,2,1,Month-to-month,Fiber,Credit card,Central,1,1,0,0,1,0
CUST-100307,19,82.43,2,2,One year,DSL,Electronic check,North,0,1,0,1,0,0
CUST-100308,33,65.36,2,0,Month-to-month,Fiber,Electronic check,East,0,1,1,1,0,0
CUST-100309,18,89.39,1,1,Month-to-month,Fiber,Electronic check,South,0,1,1,1,0,1
CUST-100310,44,69.57,2,1,Month-to-month,Fiber,Mailed check,South,1,1,0,0,1,1
CUST-100311,21,40.45,0,3,Month-to-month,DSL,Electronic check,West,0,1,0,0,1,1
CUST-100312,16,87.69,3,4,Month-to-month,DSL,Electronic check,South,0,1,0,1,0,1
CUST-100313,28,28.78,2,2,Month-to-month,Fiber,Bank transfer,West,1,1,1,0,1,1
CUST-100314,52,74.79,0,0,Month-to-month,Fiber,Electronic check,Central,0,0,0,1,0,1
CUST-100315,46,58.78,2,0,Month-to-month,DSL,Mailed check,West,1,1,1,0,0,0
CUST-100316,17,57.24,0,0,Month-to-month,Fiber,Electronic check,North,0,0,0,1,0,1
CUST-100317,64,72.13,3,1,One year,DSL,Credit card,North,1,0,0,0,0,0
CUST-100318,11,50.98,0,1,Month-to-month,Fiber,Mailed check,East,1,1,0,0,1,0
CUST-100320,43,69.36,2,0,Two year,Fiber,Electronic check,West,0,0,0,0,1,0
CUST-100321,3,53.18,1,0,Month-to-month,DSL,Bank transfer,East,1,1,1,0,0,0
CUST-100322,24,100.12,2,1,Month-to-month,Fiber,Credit card,North,1,0,1,0,1,1
CUST-100325,9,102.0,2,1,One year,DSL,Electronic check,West,0,1,0,0,1,0
CUST-100326,10,101.6,1,2,One year,Fiber,Bank transfer,West,1,0,1,1,1,1
CUST-100327,72,81.91,1,0,Month-to-month,Fiber,Credit card,Central,1,0,1,0,1,1
CUST-100328,19,60.74,3,2,One year,DSL,Mailed check,East,1,1,1,1,1,0
CUST-100329,50,33.69,4,1,Month-to-month,DSL,Electronic check,North,0,0,1,0,0,0
